Assembly_Acc,core,unique(merged$organism_id)
GCA_000970025.1,000970025.1,GCF_000970025.1
GCA_000970085.1,000970085.1,GCF_000970085.1
GCA_000970205.1,000970205.1,GCF_000970205.1
GCA_000970265.1,000970265.1,GCF_000970265.1
GCA_000970285.1,000970285.1,GCF_000970285.1
GCA_000993805.1,000993805.1,GCF_000993805.1
GCA_001006045.1,001006045.1,GCF_001006045.1
GCA_001011115.1,001011115.1,GCF_001011115.1
GCA_001190965.1,001190965.1,GCF_001190965.1
GCA_001304615.2,001304615.2,GCF_001304615.2
GCA_001412615.1,001412615.1,GCF_001412615.1
GCA_001458655.1,001458655.1,GCF_001458655.1
GCA_001481685.1,001481685.1,GCF_001481685.1
GCA_001488575.1,001488575.1,GCF_001488575.1
GCA_001563245.1,001563245.1,GCF_001563245.1
GCA_001577775.1,001577775.1,GCF_001577775.1
GCA_001592435.1,001592435.1,GCF_001592435.1
GCA_001647085.1,001647085.1,GCF_001647085.1
GCA_001886955.1,001886955.1,GCF_001886955.1
GCA_001889405.1,001889405.1,GCF_001889405.1
GCA_001971705.1,001971705.1,GCF_001971705.1
GCA_002078355.1,002078355.1,GCF_002078355.1
GCA_002116695.1,002116695.1,GCF_002116695.1
GCA_002156705.1,002156705.1,GCF_002156705.1
GCA_002156965.1,002156965.1,GCF_002156965.1
GCA_002214165.1,002214165.1,GCF_002214165.1
GCA_002214365.1,002214365.1,GCF_002214365.1
GCA_002214385.1,002214385.1,GCF_002214385.1
GCA_002214465.1,002214465.1,GCF_002214465.1
GCA_002214485.1,002214485.1,GCF_002214485.1
GCA_002214505.1,002214505.1,GCF_002214505.1
GCA_002214565.1,002214565.1,GCF_002214565.1
GCA_002214585.1,002214585.1,GCF_002214585.1
GCA_002214605.1,002214605.1,GCF_002214605.1
GCA_002355635.1,002355635.1,GCF_002355635.1
GCA_002787055.1,002787055.1,GCF_002787055.1
GCA_002788215.1,002788215.1,GCF_002788215.1
GCA_002813695.1,002813695.1,GCF_002813695.1
GCA_002906215.1,002906215.1,GCF_002906215.1
GCA_002906575.1,002906575.1,GCF_002906575.1
GCA_002945325.1,002945325.1,GCF_002945325.1
GCA_002952775.1,002952775.1,GCF_002952775.1
GCA_003058365.1,003058365.1,GCF_003058365.1
GCA_003201675.2,003201675.2,GCF_003201675.2
GCA_003201765.2,003201765.2,GCF_003201765.2
GCA_003201835.2,003201835.2,GCF_003201835.2
GCA_003342675.1,003342675.1,GCF_003342675.1
GCA_003430825.1,003430825.1,GCF_003430825.1
GCA_003711245.1,003711245.1,GCF_003711245.1
GCA_003852155.1,003852155.1,GCF_003852155.1
GCA_003856835.1,003856835.1,GCF_003856835.1
GCA_004087835.1,004087835.1,GCF_004087835.1
GCA_004126515.1,004126515.1,GCF_004126515.1
GCA_004799605.1,004799605.1,GCF_004799605.1
GCA_004799645.1,004799645.1,GCF_004799645.1
GCA_004799665.1,004799665.1,GCF_004799665.1
GCA_005222525.1,005222525.1,GCF_005222525.1
GCA_005406325.1,005406325.1,GCF_005406325.1
GCA_005890195.1,005890195.1,GCF_005890195.1
GCA_006274605.1,006274605.1,GCF_006274605.1
GCA_008152015.1,008152015.1,GCF_008152015.1
GCA_008245085.1,008245085.1,GCF_008245085.1
GCA_008326425.1,008326425.1,GCF_008326425.1
GCA_008831545.1,008831545.1,GCF_008831545.1
GCA_009392895.1,009392895.1,GCF_009392895.1
GCA_009617975.1,009617975.1,GCF_009617975.1
GCA_009729015.1,009729015.1,GCF_009729015.1
GCA_009729035.1,009729035.1,GCF_009729035.1
GCA_009729055.1,009729055.1,GCF_009729055.1
GCA_009762275.1,009762275.1,GCF_009762275.1
